datadate,year,tic,conm,cik,conml
31dec2013,2013,"AFL","AFLAC INC","0000004977","AFLAC Inc"
31dec2011,2011,"CDNS","CADENCE DESIGN SYSTEMS INC","0000813672","Cadence Design Systems Inc"
31dec2015,2015,"NBR","NABORS INDUSTRIES LTD","0001163739","Nabors Industries Ltd"
31dec2007,2007,"AAL","AMERICAN AIRLINES GROUP INC","0000006201","American Airlines Group Inc"
31dec2002,2002,"VEON","VEON LTD","0001468091","VEON Ltd"
31dec2004,2004,"CEPH","CEPHALON INC","0000873364","Cephalon Inc"
30sep2003,2003,"ANZBY","ANZ-AUSTRALIA & NEW ZEALD BK","0000310673","Australia & New Zealand Banking Group Ltd"
31dec2009,2009,"TIVO","TIVO CORP","0001675820","TiVo Corp"
31dec2013,2013,"SHPG","SHIRE PLC","0000936402","Shire PLC"
31dec2004,2004,"VC","VISTEON CORP","0001111335","Visteon Corp."
31dec2007,2007,"KODK","EASTMAN KODAK CO","0000031235","Eastman Kodak Co"
31dec2014,2014,"SIVB","SVB FINANCIAL GROUP","0000719739","SVB Financial Group"
30sep2009,2009,"9352B","UNITED STATES POSTAL SERVICE","","United States Postal Service"
31dec2013,2013,"GGB","GERDAU SA","0001073404","Gerdau SA"
31dec2006,2006,"CB.1","CHUBB CORP","0000020171","Chubb Corp"
31dec2013,2013,"ENLAY","ENEL SPA","0001096200","Enel Ente Nazionale Per L'Energia Elettrica SPA, Roma"
31dec2010,2010,"TIIAY","TELECOM ITALIA SPA","0000948642","Telecom Italia SPA"
31dec2003,2003,"AAAGY","ALTANA AG","0001182802","Altana AG"
31mar2002,2001,"IBN","ICICI BANK LTD","0001103838","Icici Bank Ltd"
31dec2008,2008,"CEPH","CEPHALON INC","0000873364","Cephalon Inc"
31dec2004,2004,"NFX","NEWFIELD EXPLORATION CO","0000912750","Newfield Exploration Co"
31dec2016,2016,"UCBI","UNITED COMMUNITY BANKS INC","0000857855","United Community Banks Inc"
31dec2008,2008,"CAA","CALATLANTIC GROUP INC","0000878560","CalAtlantic Group Inc"
31dec2015,2015,"BGC","GENERAL CABLE CORP/DE","0000886035","General Cable Corp."
31dec2013,2013,"LPL","LG DISPLAY CO LTD","0001290109","LG Display Co Ltd"
31dec2003,2003,"BRK1","BERKSHIRE HATHAWAY ENERGY CO","0001081316","MidAmerican Energy Holdings Co"
31jan2015,2014,"BOX","BOX INC","0001372612","Box Inc"
31dec2007,2007,"LEG","LEGGETT & PLATT INC","0000058492","Leggett & Platt Inc"
31dec2002,2002,"EXPE","EXPEDIA GROUP INC","0001324424","Expedia Group Inc"
31oct2016,2016,"DE","DEERE & CO","0000315189","Deere & Co"
31dec2010,2010,"CXO","CONCHO RESOURCES INC","0001358071","Concho Resources Inc"
31dec2015,2015,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories"
31dec2010,2010,"ALTR.1","ALTERA CORP","0000768251","Altera Corp"
31dec2016,2016,"CNX","CNX RESOURCES CORPORATION","0001070412","CNX Resources Corp"
31dec2015,2015,"TRGP","TARGA RESOURCES CORP","0001389170","Targa Resources Corp"
31oct2006,2006,"DE","DEERE & CO","0000315189","Deere & Co"
31dec2007,2007,"EHC","ENCOMPASS HEALTH CORP","0000785161","Encompass Health Corp"
31dec2012,2012,"MAN","MANPOWERGROUP","0000871763","ManpowerGroup Inc"
31dec2002,2002,"GTW","GATEWAY INC","0000895812","Gateway Inc."
31dec2016,2016,"WMGI","WRIGHT MEDICAL GROUP NV","0001492658","Wright Medical Group NV"
31dec2006,2006,"CNP3","CENTERPOINT ENERGY RES CORP","0001042773","Centerpoint Energy Resources Corp"
31dec2008,2008,"CL","COLGATE-PALMOLIVE CO","0000021665","Colgate-Palmolive Co"
31dec2005,2005,"ZBH","ZIMMER BIOMET HOLDINGS INC","0001136869","Zimmer Biomet Holdings Inc"
31dec2014,2014,"TRLA.2","TRULIA INC","0001349454","Trulia Inc"
31dec2006,2006,"TRV","TRAVELERS COS INC","0000086312","Travelers Companies Inc (The)"
31jan2007,2006,"TECD","TECH DATA CORP","0000790703","Tech Data Corp"
31dec2003,2003,"GGAL","GRUPO FINANCIERO GALICIA SA","0001114700","Grupo Financiero Galicia Sa, Buenos Aires"
31dec2013,2013,"AVOL","AVOLON HOLDINGS LTD","0001610128","Avolon Holdings Ltd"
31dec2007,2007,"LMT","LOCKHEED MARTIN CORP","0000936468","Lockheed Martin Corp"
28feb2014,2013,"RHT","RED HAT INC","0001087423","Red Hat Inc"
31dec2003,2003,"AMX","AMERICA MOVIL SA DE CV","0001129137","America Movil SA De CV, Mexico"
31dec2006,2006,"HCA","HCA HEALTHCARE INC","0000860730","HCA Healthcare Inc"
31dec2016,2016,"FCX","FREEPORT-MCMORAN INC","0000831259","Freeport-McMoRan Inc"
31dec2016,2016,"BBEPQ","BREITBURN ENERGY PARTNERS LP","0001357371","Breitburn Energy Partners LP"
31dec2004,2004,"MBT","MOBILE TELESYSTEMS PJSC","0001115837","Mobile TeleSystems PJSC"
31dec2009,2009,"CMI","CUMMINS INC","0000026172","Cummins Inc."
31mar2007,2006,"IX","ORIX CORP","0001070304","Orix Corp"
31dec2016,2016,"GG","GOLDCORP INC","0000919239","Goldcorp Inc."
31dec2005,2005,"KO","COCA-COLA CO","0000021344","Coca-Cola Co (The)"
31dec2008,2008,"3WCPSF","WORLD COLOR PRESS INC","0001003470","World Color Press Inc"
31dec2012,2012,"BDRBF","BOMBARDIER INC  -CL B","0000878334","Bombardier Inc"
31mar2005,2004,"IX","ORIX CORP","0001070304","Orix Corp"
31dec2003,2003,"VZ","VERIZON COMMUNICATIONS INC","0000732712","Verizon Communications Inc"
31dec2016,2016,"CXRXF","ADVANZ PHARMA CORP LTD","0001642271","Advanz Pharma Corp Ltd"
31dec2003,2003,"3NSRGY","NESTLE SA/AG","0000800921","Nestle SA, Cham Und Vevey"
31dec2013,2013,"CNX","CNX RESOURCES CORPORATION","0001070412","CNX Resources Corp"
31dec2007,2007,"CNA","CNA FINANCIAL CORP","0000021175","CNA Financial Corp"
31dec2005,2005,"WTNY","WHITNEY HOLDING CORP","0000106926","Whitney Holding Corp."
31dec2016,2016,"TS","TENARIS SA","0001190723","Tenaris SA, Luxembourg"
31dec2015,2015,"RAI","REYNOLDS AMERICAN INC","0001275283","Reynolds American Inc"
31dec2007,2007,"ELLH","ELAH HOLDINGS INC","0000038984","Elah Holdings Inc"
31dec2011,2011,"QCOR","QUESTCOR PHARMACEUTICALS INC","0000891288","Questcor Pharmaceuticals Inc."
31dec2011,2011,"ADRNY","KONINKLIJKE AHOLD DELHAIZE","0000854499","Koninklijke Ahold Delhaize NV"
31dec2004,2004,"AMX","AMERICA MOVIL SA DE CV","0001129137","America Movil SA De CV, Mexico"
31dec2016,2016,"SXL","SUNOCO LOGISTICS PARTNERS LP","","Sunoco Logistics Partners LP"
31dec2008,2008,"CLR","CONTINENTAL RESOURCES INC","0000732834","Continental Resources Inc"
31aug2016,2016,"CMC","COMMERCIAL METALS","0000022444","Commercial Metals Co"
31dec2016,2016,"CFR","CULLEN/FROST BANKERS INC","0000039263","Cullen/Frost Bankers Inc"
31dec2012,2012,"DANOY","DANONE SA","0001048515","Danone SA"
31dec2015,2015,"GEL","GENESIS ENERGY  -LP","0001022321","Genesis Energy LP"
31dec2015,2015,"PBCT","PEOPLE'S UNITED FINL INC","0001378946","People's United Financial Inc"
30jun2013,2013,"IRCP","IRSA PROPIEDADES COMERCIALES","0001128173","IRSA Propiedades Comerciales SA"
31mar2006,2005,"BCBHF","CARIBBEAN INVESTMENT HOLDING","0000882505","Caribbean Investment Holdings Ltd"
31dec2003,2003,"SUNH","SUN HEALTHCARE GROUP INC","0000904978","Sun Healthcare Group Inc"
31dec2009,2009,"CVI","CVR ENERGY INC","0001376139","CVR Energy Inc"
31dec2013,2013,"PKX","POSCO","0000889132","Posco"
30sep2005,2005,"NABZY","NATIONAL AUSTRALIA BK","0000833029","National Australia Bank Ltd"
31dec2015,2015,"TA","TRAVELCENTERS OF AMERICA INC","0001378453","TravelCenters Of America Inc"
30nov2012,2012,"ADBE","ADOBE INC","0000796343","Adobe Inc"
31dec2013,2013,"PB","PROSPERITY BANCSHARES INC","0001068851","Prosperity Bancshares Inc"
31dec2003,2003,"NFX","NEWFIELD EXPLORATION CO","0000912750","Newfield Exploration Co"
31dec2010,2010,"RTX","RAYTHEON TECHNOLOGIES CORP","0000101829","Raytheon Technologies Corp"
31dec2016,2016,"EDPFY","EDP-ENERGIAS DE PORTUGAL SA","0001039610","EDP-Energias de Portugal SA"
30jun2016,2016,"EXXIQ","ENERGY XXI LTD","0001343719","Energy XXI Ltd"
31dec2007,2007,"BXC","BLUELINX HOLDINGS INC","0001301787","BlueLinx Holdings Inc"
28feb2006,2005,"GAPTQ","GREAT ATLANTIC & PAC TEA CO","0000043300","Great Atlantic & Pacific Tea Co Inc. (The)"
31dec2009,2009,"PRG","PROG HOLDINGS INC","0001808834","PROG Holdings Inc"
31dec2013,2013,"TWTR","TWITTER INC","0001418091","Twitter Inc"
31dec2016,2016,"RAI","REYNOLDS AMERICAN INC","0001275283","Reynolds American Inc"
31dec2011,2011,"ZNGA","ZYNGA INC","0001439404","Zynga Inc"
31dec2004,2004,"FWLT","FOSTER WHEELER AG","0001130385","Foster Wheeler AG"
31dec2007,2007,"SHG","SHINHAN FINANCIAL GROUP LTD","0001263043","Shinhan Financial Group Co Ltd"
31dec2010,2010,"ALLY","ALLY FINANCIAL INC","0000040729","Ally Financial Inc"
28feb2009,2008,"RHT","RED HAT INC","0001087423","Red Hat Inc"
31dec2005,2005,"PBR","PETROLEO BRASILEIRO SA- PETR","0001119639","Petroleo Brasileiro S.A.- Petrobras"
28feb2007,2006,"GAPTQ","GREAT ATLANTIC & PAC TEA CO","0000043300","Great Atlantic & Pacific Tea Co Inc. (The)"
31dec2015,2015,"UOVEY","UNITED OVERSEAS BANK LTD","0000867530","United Overseas Bank Ltd"
31dec2013,2013,"LYB","LYONDELLBASELL INDUSTRIES NV","0001489393","LyondellBasell Industries NV"
31dec2001,2001,"GEL","GENESIS ENERGY  -LP","0001022321","Genesis Energy LP"
31dec2001,2001,"KMI","KINDER MORGAN INC","0001506307","Kinder Morgan Inc."
31mar2003,2002,"AGYS","AGILYSYS INC","0000078749","Agilysys Inc"
31dec2006,2006,"ES","EVERSOURCE ENERGY","0000072741","Eversource Energy"
31dec2010,2010,"SHPG","SHIRE PLC","0000936402","Shire PLC"
31dec2015,2015,"EDPFY","EDP-ENERGIAS DE PORTUGAL SA","0001039610","EDP-Energias de Portugal SA"
31dec2012,2012,"BKNG","BOOKING HOLDINGS INC","0001075531","Booking Holdings Inc"
31dec2009,2009,"EXCE","EXCO RESOURCES INC","0000316300","EXCO Resources Inc"
31dec2015,2015,"TWO","TWO HARBORS INVESTMENT CORP","0001465740","Two Harbors Investment Corp"
31dec2003,2003,"WTI","W&T OFFSHORE INC","0001288403","W&T Offshore Inc"
31dec2011,2011,"WTM","WHITE MTNS INS GROUP LTD","0000776867","White Mountains Insurance Group Ltd"
31dec2010,2010,"FCX","FREEPORT-MCMORAN INC","0000831259","Freeport-McMoRan Inc"
31dec2003,2003,"MBT","MOBILE TELESYSTEMS PJSC","0001115837","Mobile TeleSystems PJSC"
31dec2016,2016,"CIB","BANCOLOMBIA SA","0001071371","Bancolombia Sa Bancolombia, Colombia"
31dec2007,2007,"MMC","MARSH & MCLENNAN COS","0000062709","Marsh & McLennan Companies Inc"
31dec2014,2014,"CDNS","CADENCE DESIGN SYSTEMS INC","0000813672","Cadence Design Systems Inc"
31dec2011,2011,"ELUXY","ELECTROLUX AB","0000813810","Electrolux AB"
31dec2016,2016,"SBNY","SIGNATURE BANK/NY","0001288784","Signature Bank"
31aug2005,2005,"LI.3","LAIDLAW INTERNATIONAL INC","0000737874","Laidlaw International Inc"
31jan2013,2012,"TECD","TECH DATA CORP","0000790703","Tech Data Corp"
30apr2008,2007,"0173A","SMITHFIELD FOODS INC","0000091388","Smithfield Foods Inc."
31aug2010,2010,"ACN","ACCENTURE PLC","0001467373","Accenture PLC"
31dec2016,2016,"X","UNITED STATES STEEL CORP","0001163302","United States Steel Corp"
31dec2015,2015,"PEP","PEPSICO INC","0000077476","PepsiCo Inc"
31dec2014,2014,"FANG","DIAMONDBACK ENERGY INC","0001539838","Diamondback Energy Inc"
30jun2001,2001,"VIAV","VIAVI SOLUTIONS INC","0000912093","Viavi Solutions Inc"
31dec2015,2015,"LUXTY","LUXOTTICA GROUP SPA","0000857471","Luxottica Group SPA, Milano"
31mar2002,2001,"ICAGY","INTL CONSOL AIRLINES GROUP","0000809023","International Consolidated Airlines Group SA"
31dec2006,2006,"DS","DRIVE SHACK INC","0001175483","DRIVE SHACK INC"
31dec2008,2008,"Q1","QWEST CORP","0000068622","Qwest Corp"
31dec2014,2014,"WEC3","INTEGRYS HOLDING INC","0000916863","Integrys Holding Inc"
31dec2014,2014,"ISNPY","INTESA SANPAOLO SPA","0001374384","Intesa Sanpaolo SPA"
31dec2014,2014,"HBAN","HUNTINGTON BANCSHARES","0000049196","Huntington Bancshares Inc"
31dec2015,2015,"ILMN","ILLUMINA INC","0001110803","Illumina Inc"
31dec2004,2004,"STT","STATE STREET CORP","0000093751","State Street Corporation"
31dec2002,2002,"KRB","MBNA CORP","0000870517","MBNA Corp"
31dec2004,2004,"JNPR","JUNIPER NETWORKS INC","0001043604","Juniper Networks Inc"
31dec2004,2004,"SE1","SPECTRA ENERGY CAPITAL LLC","0001051116","Spectra Energy Capital LLC"
31dec2003,2003,"TLK","TELEKOMUNIKASI INDONESIA","0001001807","PT Telekomunikasi Indonesia (Persero) TBK"
31dec2015,2015,"DCP","DCP MIDSTREAM LP","0001338065","DCP Midstream LP"
31dec2005,2005,"STD2","SANTANDER HOLDINGS USA INC","0000811830","Santander Holdings USA Inc"
31dec2011,2011,"LLL.1","L3 TECHNOLOGIES INC","0001039101","L3 Technologies Inc"
31dec2011,2011,"MHS","MEDCO HEALTH SOLUTIONS INC","0001170650","Medco Health Solutions Inc."
31dec2008,2008,"STT","STATE STREET CORP","0000093751","State Street Corporation"
31dec2015,2015,"SBNY","SIGNATURE BANK/NY","0001288784","Signature Bank"
31dec2016,2016,"FNB","F N B CORP/FL","0000037808","F.N.B. Corp"
30jun2014,2014,"MYGN","MYRIAD GENETICS INC","0000899923","Myriad Genetics Inc"
30jun2002,2002,"EL","ESTEE LAUDER COMPANIES INC","0001001250","Estee Lauder Cos Inc (The)"
31mar2014,2013,"PCRFY","PANASONIC CORP","0000063271","Panasonic Corp"
31dec2001,2001,"KG","KING PHARMACEUTICALS INC","0001047699","King Pharmaceuticals Inc."
31mar2012,2011,"NGG","NATIONAL GRID","0001004315","National Grid plc"
30jun2009,2009,"TPR","TAPESTRY INC","0001116132","Tapestry Inc"
31dec2010,2010,"ADRNY","KONINKLIJKE AHOLD DELHAIZE","0000854499","Koninklijke Ahold Delhaize NV"
31dec2005,2005,"UOVEY","UNITED OVERSEAS BANK LTD","0000867530","United Overseas Bank Ltd"
31dec2001,2001,"MTCH","MATCH GROUP INC","0000891103","Match Group Inc"
31dec2004,2004,"ASKJ","ASK JEEVES INC","0001054298","Ask Jeeves Inc"
30jun2008,2008,"DEO","DIAGEO PLC","0000835403","Diageo PLC"
31dec2001,2001,"MTG","MGIC INVESTMENT CORP/WI","0000876437","MGIC Investment Corp"
31dec2003,2003,"ALU","ALCATEL-LUCENT","0000886125","Alcatel-Lucent"
31dec2007,2007,"GA","GIANT INTERACTIVE GROUP -ADR","0001415016","Giant Interactive Group Inc"
31dec2010,2010,"9627A","HARTFORD LIFE INSURANCE CO","0000045947","Hartford Life Insurance Co"
31dec2009,2009,"AN","AUTONATION INC","0000350698","AutoNation Inc"
31dec2009,2009,"8356B","CALPINE CORP","0000916457","Calpine Corp"
31dec2015,2015,"FHB","FIRST HAWAIIAN INC","0000036377","First Hawaiian Inc"
31dec2014,2014,"FCAU","FIAT CHRYSLER AUTOMOBILES NV","","Fiat Chrysler Automobiles NV"
31dec2009,2009,"ALLY","ALLY FINANCIAL INC","0000040729","Ally Financial Inc"
31dec2008,2008,"PXD","PIONEER NATURAL RESOURCES CO","0001038357","Pioneer Natural Resources Co"
31dec2008,2008,"QSFT","QUEST SOFTWARE INC","0001088033","Quest Software Inc"
31dec2016,2016,"VIV","TELEFONICA BRASIL SA","0001066119","Telefonica Brasil SA"
31dec2003,2003,"XEL","XCEL ENERGY INC","0000072903","Xcel Energy Inc."
31dec2005,2005,"PXD","PIONEER NATURAL RESOURCES CO","0001038357","Pioneer Natural Resources Co"
31jan2017,2016,"NVDA","NVIDIA CORP","0001045810","NVIDIA Corporation"
31dec2004,2004,"TXN","TEXAS INSTRUMENTS INC","0000097476","Texas Instruments Inc"
31dec2009,2009,"TIMB","TIM S.A.","0001826168","TIM S.A."
31dec2014,2014,"AIQUY","L'AIR LIQUIDE SA","0001557334","L'Air Liquide SA"
31dec2009,2009,"UTHR","UNITED THERAPEUTICS CORP","0001082554","United Therapeutics Corp"
31mar2007,2006,"UVV","UNIVERSAL CORP/VA","0000102037","Universal Corp"
31dec2007,2007,"DTEGY","DEUTSCHE TELEKOM","0000946770","Deutsche Telekom AG"
31dec2015,2015,"BOH","BANK OF HAWAII CORP","0000046195","Bank of Hawaii Corp"
31dec2010,2010,"NOC","NORTHROP GRUMMAN CORP","0001133421","Northrop Grumman Corp"
31mar2009,2008,"TATYY","TATE & LYLE PLC","0000753296","Tate & Lyle PLC"
31oct2009,2009,"HOV","HOVNANIAN ENTRPRS INC  -CL A","0000357294","Hovnanian Enterprises Inc."
31dec2006,2006,"WEN.2","WENDY'S INTERNATIONAL INC","0000105668","Wendy's International Inc."
31dec2013,2013,"ENIA","ENEL AMERICAS SA","0000912505","Enel Americas SA"
31dec2011,2011,"ALL","ALLSTATE CORP","0000899051","Allstate Corp (The)"
31dec2009,2009,"AMR1","AMERICAN AIRLINES INC","0000004515","American Airlines Inc"
31dec2008,2008,"MDC","MDC HOLDINGS INC","0000773141","M.D.C. Holdings Inc."
31dec2012,2012,"VZ","VERIZON COMMUNICATIONS INC","0000732712","Verizon Communications Inc"
31jan2007,2006,"BDRBF","BOMBARDIER INC  -CL B","0000878334","Bombardier Inc"
31dec2006,2006,"BAYRY","BAYER AG","0000790075","Bayer AG"
31dec2011,2011,"GGAL","GRUPO FINANCIERO GALICIA SA","0001114700","Grupo Financiero Galicia Sa, Buenos Aires"
31dec2008,2008,"ME.2","MARINER ENERGY INC","0001022345","Mariner Energy Inc"
31dec2013,2013,"LLY","LILLY (ELI) & CO","0000059478","Eli Lilly and Co"
31dec2005,2005,"IFIN","INVESTORS FINANCIAL SVCS CP","0000949589","Investors Financial Services Corp"
31dec2016,2016,"MUR","MURPHY OIL CORP","0000717423","Murphy Oil Corp"
31dec2004,2004,"IBM","INTL BUSINESS MACHINES CORP","0000051143","International Business Machines Corp"
31dec2015,2015,"HAWK","BLACKHAWK NETWORK HLDGS INC","0001411488","Blackhawk Network Holdings Inc"
31dec2007,2007,"ES","EVERSOURCE ENERGY","0000072741","Eversource Energy"
31dec2005,2005,"CELG","CELGENE CORP","0000816284","Celgene Corp"
31dec2006,2006,"PBR","PETROLEO BRASILEIRO SA- PETR","0001119639","Petroleo Brasileiro S.A.- Petrobras"
31dec2009,2009,"MO","ALTRIA GROUP INC","0000764180","Altria Group Inc"
31dec2009,2009,"KT","KT CORP","0000892450","Kt Corp"
31dec2005,2005,"MRBK.1","MERCANTILE BANKSHARES CORP","0000064908","Mercantile Bankshares Corp"
31dec2014,2014,"AL","AIR LEASE CORP","0001487712","Air Lease Corp"
31dec2009,2009,"AVRW","AVENTINE RENEWABLE ENERGY","0001285043","Aventine Renewable Energy Holdings Inc"
31aug2001,2001,"WWWW.1","WEB.COM INC","0000854460","Web.com Inc"
31jan2011,2010,"PVH","PVH CORP","0000078239","PVH Corp"
31dec2015,2015,"TCOM","TRIP COM GROUP LTD","0001269238","Trip com Group Ltd"
31dec2002,2002,"AWE.2","AT&T WIRELESS SERVICES INC","0001138234","AT&T Wireless Services Inc"
31dec2016,2016,"MOMO","HELLO GROUP INC -ADR","0001610601","Hello Group Inc"
31dec2006,2006,"OKS","ONEOK PARTNERS -LP","0000909281","ONEOK Partners LP"
31dec2015,2015,"3NSRGY","NESTLE SA/AG","0000800921","Nestle SA, Cham Und Vevey"
31may2010,2009,"5938B","BIOMET INC","0000351346","Biomet Inc"
30jun2005,2005,"LLTC","LINEAR TECHNOLOGY CORP","0000791907","Linear Technology Corp"
31dec2003,2003,"DAL","DELTA AIR LINES INC","0000027904","Delta Air Lines Inc"
31dec2012,2012,"LVLT","LEVEL 3 COMMUNICATIONS INC","0000794323","Level 3 Communications Inc"
31dec2004,2004,"SNN","SMITH & NEPHEW PLC","0000845982","Smith & Nephew PLC"
31dec2004,2004,"SRA.2","MERCK SERONO SA","0001117399","Merck Serono SA"
31dec2010,2010,"ALXN","ALEXION PHARMACEUTICALS INC","0000899866","Alexion Pharmaceuticals Inc"
31dec2009,2009,"UAL2","UNITED AIRLINES INC","0000319687","United Airlines Inc"
31dec2013,2013,"ICE","INTERCONTINENTAL EXCHANGE","0001571949","Intercontinental Exchange Inc"
31dec2011,2011,"DDAIF","DAIMLER AG","0001067318","Daimler AG"
31dec2002,2002,"AEP11","AEP TEXAS CENTRAL CO","0000018734","AEP Texas Central Co"
30sep2015,2015,"FFIV","F5 NETWORKS INC","0001048695","F5 Networks Inc"
31dec2009,2009,"RFP","RESOLUTE FOREST PRODUCTS INC","0001393066","Resolute Forest Products Inc"
31jul2012,2012,"INTU","INTUIT INC","0000896878","Intuit Inc."
31dec2016,2016,"WTFC","WINTRUST FINANCIAL CORP","0001015328","Wintrust Financial Corp."
31dec2005,2005,"BBVA","BBVA","0000842180","Banco Bilbao Vizcaya Argentaria SA (BBVA)"
31dec2007,2007,"OC","OWENS CORNING","0001370946","Owens Corning"
31dec2015,2015,"ABGBY","ABENGOA SA","0001161785","Abengoa SA"
31dec2004,2004,"SSREY","SWISS RE LTD","0001471515","Schweizerische Rueckversicherungs-Gesellschaft, Zuerich"
31dec2011,2011,"LNGG","LINN ENERGY INC","","Linn Energy Inc"
31dec2004,2004,"AEG","AEGON NV","0000769218","Aegon NV"
31mar2004,2003,"FRX.1","FOREST LABORATORIES  -CL A","0000038074","Forest Laboratories Inc"
31dec2005,2005,"KKPNY","KONINKLIJKE KPN NV","0001001474","Koninklijke Kpn NV"
31mar2002,2001,"NSANY","NISSAN MOTOR CO LTD","0000800937","Nissan Motor Co Ltd"
30sep2009,2009,"PTRY","PANTRY INC","0000915862","Pantry Inc (The)"
31dec2009,2009,"ZBH","ZIMMER BIOMET HOLDINGS INC","0001136869","Zimmer Biomet Holdings Inc"
31dec2009,2009,"OIBRQ","OI SA","0001160846","Oi SA"
31dec2009,2009,"WY","WEYERHAEUSER CO","0000106535","Weyerhaeuser Co"
30jun2003,2003,"DEO","DIAGEO PLC","0000835403","Diageo PLC"
31dec2004,2004,"LUXTY","LUXOTTICA GROUP SPA","0000857471","Luxottica Group SPA, Milano"
31mar2009,2008,"TLKGY","TELKOM SA SOC LTD","0001214299","Telkom SA SOC Ltd"
31dec2001,2001,"IP","INTL PAPER CO","0000051434","International Paper Co"
28feb2003,2002,"SVU","SUPERVALU INC","0000095521","SUPERVALU INC."
31dec2015,2015,"BSBR","BANCO SANTANDER BRASIL  -ADR","0001471055","Banco Santander Brasil SA"
30sep2003,2003,"SIEGY","SIEMENS AG","0001135644","Siemens AG"
31dec2011,2011,"CEG","CONSTELLATION ENERGY GRP INC","0001004440","Constellation Energy Group Inc."
31dec2008,2008,"NFX","NEWFIELD EXPLORATION CO","0000912750","Newfield Exploration Co"
31dec2007,2007,"CIB","BANCOLOMBIA SA","0001071371","Bancolombia Sa Bancolombia, Colombia"
31dec2008,2008,"UPMMY","UPM-KYMMENE CORP","0001089642","Upm-Kymmene Corp"
31dec2008,2008,"MMR","MCMORAN EXPLORATION CO","0000064279","McMoRan Exploration Co"
31mar2009,2008,"BKRIY","BANK OF IRELAND GROUP PLC","0001715773","Bank Of Ireland Group Plc"
31dec2007,2007,"TIN","TEMPLE-INLAND INC","0000731939","Temple-Inland Inc."
31jan2015,2014,"SPLK","SPLUNK INC","0001353283","Splunk Inc"
31dec2016,2016,"LPL","LG DISPLAY CO LTD","0001290109","LG Display Co Ltd"
31dec2016,2016,"MTW","MANITOWOC CO","0000061986","Manitowoc Co Inc (The)"
31dec2009,2009,"DK","DELEK US HOLDINGS INC","0001694426","Delek US Holdings Inc"
31dec2003,2003,"FMX","FOMENTO ECONOMICO MEXICANO","0001061736","Fomento Economico Mexican SAB de CV"
31dec2005,2005,"VLVLY","VOLVO AB","0000753762","Volvo AB"
30sep2009,2009,"COV","COVIDIEN PLC","0001385187","Covidien Plc"
31may2009,2008,"FDX","FEDEX CORP","0001048911","FedEx Corp."
30jun2016,2016,"IRS","IRSA INVERSIONES Y REPSTN SA","0000933267","Irsa Inversiones Y Representaciones Sa"
31dec2009,2009,"CNH","CNH GLOBAL NV","0001024519","CNH Global NV"
31dec2013,2013,"HLSSF","HOME LOAN SERVICING SOLTNS","0001513161","Home Loan Servicing Solutions Ltd"
31dec2010,2010,"AER","AERCAP HOLDINGS NV","0001378789","AerCap Holdings NV"
31dec2005,2005,"LBTYK","LIBERTY GLOBAL PLC","0001570585","Liberty Global Plc"
31dec2015,2015,"SGEN","SEAGEN INC","0001060736","Seagen Inc"
31dec2003,2003,"LYG","LLOYDS BANKING GROUP PLC","0001160106","Lloyds Banking Group PLC"
31dec2005,2005,"AEP","AMERICAN ELECTRIC POWER CO","0000004904","American Electric Power Co Inc"
31dec2012,2012,"SD","SANDRIDGE ENERGY INC","0001349436","SandRidge Energy Inc"
31dec2013,2013,"REPYY","REPSOL SA","0000901576","Repsol SA"
31dec2013,2013,"IVR","INVESCO MORTGAGE CAPITAL INC","0001437071","Invesco Mortgage Capital Inc"
31dec2007,2007,"HUN","HUNTSMAN CORP","0001307954","Huntsman Corp"
31dec2008,2008,"SYK","STRYKER CORP","0000310764","Stryker Corp"
31dec2015,2015,"MGA","MAGNA INTERNATIONAL INC","0000749098","Magna International Inc"
31dec2012,2012,"KBR","KBR INC","0001357615","KBR Inc"
31dec2007,2007,"HUN1","HUNTSMAN INTERNATIONAL LLC","0001089748","Huntsman International LLC"
31dec2009,2009,"MRX","MEDICIS PHARMACEUT CP  -CL A","0000859368","Medicis Pharmaceutical Corp"
31dec2009,2009,"TLSNY","TELIA COMPANY AB","0001619489","Telia Company AB"
31dec2012,2012,"CYOU","CHANGYOU.COM LTD","0001458696","Changyou.com Ltd"
31dec2006,2006,"VALE","VALE SA","0000917851","Vale SA"
31dec2002,2002,"MEDI","MEDIMMUNE INC","0000873591","MedImmune Inc."
31dec2005,2005,"KG","KING PHARMACEUTICALS INC","0001047699","King Pharmaceuticals Inc."
31dec2005,2005,"GOOGL","ALPHABET INC","0001652044","Alphabet Inc"
31dec2015,2015,"BSX","BOSTON SCIENTIFIC CORP","0000885725","Boston Scientific Corp"
28feb2010,2009,"RHT","RED HAT INC","0001087423","Red Hat Inc"
31dec2003,2003,"PRU","PRUDENTIAL FINANCIAL INC","0001137774","Prudential Financial Inc"
31dec2013,2013,"MUSA","MURPHY USA INC","0001573516","Murphy USA Inc"
31dec2010,2010,"WCG","WELLCARE HEALTH PLANS INC","0001279363","WellCare Health Plans Inc"
31mar2009,2008,"JALSQ","JAPAN AIRLINES CO LTD","0000800673","Japan Airlines Co Ltd"
30jun2007,2007,"TPR","TAPESTRY INC","0001116132","Tapestry Inc"
31dec2008,2008,"TIIAY","TELECOM ITALIA SPA","0000948642","Telecom Italia SPA"
